address,time_in,time_out,lp_tokens_deposited
0x0000000000000000000000000000000000000000,1630992023,1630992023,1613099999999935476
0x0000000000000000000000000000000000000000,1630992045,1630992045,166666666666660000
0x0000000000000000000000000000000000000000,1630992089,1630992089,2209999999999991160
0x0000000000000000000000000000000000000000,1630992094,1630992094,66666666666664000
0x0000000000000000000000000000000000000000,1630992350,1630992350,466666666666664800
0x0000000000000000000000000000000000000000,1630992388,1630992388,14463333333333275480
0x0000000000000000000000000000000000000000,1630992418,1630992418,974999999999996100
0x0000000000000000000000000000000000000000,1630992446,1630992446,71666666666666380
0x0000000000000000000000000000000000000000,1630992450,1630992450,1166666666666666662
0x0000000000000000000000000000000000000000,1630992450,1630992450,12101666666666618260
0x0000000000000000000000000000000000000000,1630992515,1630992515,398310533333317400912
0x0000000000000000000000000000000000000000,1630992608,1630992608,233333333333332400
0x0000000000000000000000000000000000000000,1630992666,1630992666,5599999999999977600
0x0000000000000000000000000000000000000000,1630992729,1630992729,2074999999999991700
0x0000000000000000000000000000000000000000,1630992729,1630992729,291666666666665500
0x0000000000000000000000000000000000000000,1630992734,1630992734,433333333333331600
0x0000000000000000000000000000000000000000,1630992774,1630992774,539999999999997840
0x0000000000000000000000000000000000000000,1630992801,1630992801,858333333333329900
0x0000000000000000000000000000000000000000,1630992830,1630992830,746666666666663680
0x0000000000000000000000000000000000000000,1630992830,1630992830,736666666666663720
0x0000000000000000000000000000000000000000,1630992830,1630992830,1189999999999995240
0x0000000000000000000000000000000000000000,1630992830,1630992830,283333333333332200
0x0000000000000000000000000000000000000000,1630992830,1630992830,566666666666664400
0x0000000000000000000000000000000000000000,1630992830,1630992830,583333333333331000
0x0000000000000000000000000000000000000000,1630992830,1630992830,584999999999997660
0x0000000000000000000000000000000000000000,1630992830,1630992830,179999999999999280
0x0000000000000000000000000000000000000000,1630992830,1630992830,674999999999997300
0x0000000000000000000000000000000000000000,1630992830,1630992830,314999999999998740
0x0000000000000000000000000000000000000000,1630992830,1630992830,1349999999999994600
